Track ID,Name,Artist,Album Artist,Album,Genre,Comments,Kind,Size,Total Time,Track Number,Year,Bit Rate,Track Count,Composer,Publisher,Location,File Folder Count,Library Folder Count,Date Modified,Date Added
0,A Story Of Boy Meets Girl,Mychael Danna & Rob Simonsen,Mychael Danna & Rob Simonsen,(500) Days Of Summer,Soundtrack,,MPEG audio file,1529041,95000,1,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C01%20A%20Story%20Of%20Boy%20Meets%20Girl.mp3,-1,-1,2009-11-06T05:43:50Z,2023-10-23T02:03:07Z
1,Us,Regina Spektor,Regina Spektor,(500) Days Of Summer,Soundtrack,,MPEG audio file,4640293,289000,2,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C02%20Us.mp3,-1,-1,2009-11-06T05:43:50Z,2023-10-23T02:03:07Z
2,There Is A Light That Never Goes Out,The Smiths,The Smiths,(500) Days Of Summer,Soundtrack,,MPEG audio file,3904714,243000,3,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C03%20There%20Is%20A%20Light%20That%20Never%20Goes.mp3,-1,-1,2009-11-06T05:43:49Z,2023-10-23T02:03:07Z
3,Bad Kids,Black Lips,Black Lips,(500) Days Of Summer,Soundtrack,,MPEG audio file,2056471,128000,4,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C04%20Bad%20Kids.mp3,-1,-1,2009-11-06T05:43:48Z,2023-10-23T02:03:07Z
4,"Please, Please, Please, Let Me Get What I Want",The Smiths,The Smiths,(500) Days Of Summer,Soundtrack,,MPEG audio file,1805315,112000,5,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C05%20Please%2C%20Please%2C%20Please%2C%20Let%20Me%20Ge.mp3,-1,-1,2009-11-06T05:43:48Z,2023-10-23T02:03:07Z
5,There Goes The Fear,Doves,Doves,(500) Days Of Summer,Soundtrack,,MPEG audio file,6658626,416000,6,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C06%20There%20Goes%20The%20Fear.mp3,-1,-1,2009-11-06T05:43:47Z,2023-10-23T02:03:07Z
6,You Make My Dreams,Hall & Oates,Hall & Oates,(500) Days Of Summer,Soundtrack,,MPEG audio file,2969306,185000,7,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C07%20You%20Make%20My%20Dreams.mp3,-1,-1,2009-11-06T05:43:49Z,2023-10-23T02:03:08Z
7,Sweet Disposition,The Temper Trap,The Temper Trap,(500) Days Of Summer,Soundtrack,,MPEG audio file,3737517,233000,8,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C08%20Sweet%20Disposition.mp3,-1,-1,2009-11-06T05:43:50Z,2023-10-23T02:03:08Z
8,Quequ'un M'a Dit,Carla Bruni,Carla Bruni,(500) Days Of Summer,Soundtrack,,MPEG audio file,2630756,164000,9,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C09%20Quequ%27un%20M%27a%20Dit.mp3,-1,-1,2009-11-06T05:43:48Z,2023-10-23T02:03:08Z
9,Mushaboom,Feist,Feist,(500) Days Of Summer,Soundtrack,,MPEG audio file,3596648,224000,10,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C10%20Mushaboom.mp3,-1,-1,2009-11-06T05:43:34Z,2023-10-23T02:03:08Z
10,Hero,Regina Spektor,Regina Spektor,(500) Days Of Summer,Soundtrack,,MPEG audio file,3393523,211000,11,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C11%20Hero.mp3,-1,-1,2009-11-06T05:43:49Z,2023-10-23T02:03:08Z
11,Bookends,Simon & Garfunkel,Simon & Garfunkel,(500) Days Of Summer,Soundtrack,,MPEG audio file,1296629,80000,12,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C12%20Bookends.mp3,-1,-1,2009-11-06T05:43:50Z,2023-10-23T02:03:08Z
12,Vagabond,Wolfmother,Wolfmother,(500) Days Of Summer,Soundtrack,,MPEG audio file,3635522,227000,13,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C13%20Vagabond.mp3,-1,-1,2009-11-06T05:43:33Z,2023-10-23T02:03:08Z
13,She's Got You High,Mumm-Ra,Mumm-Ra,(500) Days Of Summer,Soundtrack,,MPEG audio file,3294056,205000,14,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C14%20She%27s%20Got%20You%20High.mp3,-1,-1,2009-11-06T05:43:49Z,2023-10-23T02:03:08Z
14,Here Comes Your Man,Meaghan Smith,Meaghan Smith,(500) Days Of Summer,Soundtrack,,MPEG audio file,3106399,194000,15,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C15%20Here%20Comes%20Your%20Man.mp3,-1,-1,2009-11-06T05:43:50Z,2023-10-23T02:03:08Z
15,"Please, Please, Please, Let Me Get What I Want",She & Him,She & Him,(500) Days Of Summer,Soundtrack,,MPEG audio file,2122964,132000,16,2009,128,16,,,file://localhost/G:%5CShared%20Music%5C%28500%29%20Days%20Of%20Summer%20%5B2009%5D%20Soundtrack%20OST%5C16%20Please%2C%20Please%2C%20Please%2C%20Let%20Me%20Ge.mp3,-1,-1,2009-11-06T05:43:49Z,2023-10-23T02:03:08Z
16,Black Widow,Children of Bodom,Children of Bodom,,,,MPEG audio file,9543438,238000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Black%20Widow.MP3,-1,-1,2008-07-04T04:09:25Z,2023-10-23T02:03:08Z
17,Bodom Night,Children of Bodom,Children of Bodom,,,,MPEG audio file,7710687,192000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Bodom%20Night.MP3,-1,-1,2008-07-04T04:09:25Z,2023-10-23T02:03:08Z
18,Children of Bodom,Children of Bodom,Children of Bodom,,,,MPEG audio file,12560059,313000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Children%20of%20Bodom.MP3,-1,-1,2008-07-04T04:09:26Z,2023-10-23T02:03:08Z
19,Cowars Dead End,Children of Bodom,Children of Bodom,,,,MPEG audio file,11753398,293000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Cowars%20Dead%20End.MP3,-1,-1,2008-07-04T04:09:27Z,2023-10-23T02:03:08Z
20,Downfall,Children of Bodom,Children of Bodom,,,,MPEG audio file,10953006,273000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Downfall.MP3,-1,-1,2008-07-04T04:09:27Z,2023-10-23T02:03:08Z
21,Wrath Within,Children of Bodom,Children of Bodom,,,,MPEG audio file,9348043,233000,,,320,,,,file://localhost/G:%5CShared%20Music%5C001Children%5CChildren%20of%20Bodom%20-%20Wrath%20Within.MP3,-1,-1,2008-07-04T04:09:28Z,2023-10-23T02:03:08Z
22,2 Sec. And a Tear,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,4992737,311000,6,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%202%20Sec.%20And%20a%20Tear.mp3,-1,-1,2008-07-04T04:09:28Z,2023-10-23T02:03:08Z
23,A Summer's End,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,5010709,313000,4,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20A%20Summer%27s%20End.mp3,-1,-1,2008-07-04T04:09:29Z,2023-10-23T02:03:08Z
24,Adorer and Somebody,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,3811584,238000,3,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20Adorer%20and%20Somebody.mp3,-1,-1,2008-07-04T04:09:29Z,2023-10-23T02:03:08Z
25,Black swans,Lacrimas profundere,Lacrimas Profundere,Memorandum,Gothic,,MPEG audio file,6337402,264000,4,1999,192,,C Stelner,Napalm /spv,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20Black%20Swans.mp3,-1,-1,2008-07-04T04:09:29Z,2023-10-23T02:03:08Z
26,Diotima,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,4658369,291000,9,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20Diotima.mp3,-1,-1,2008-07-04T04:09:30Z,2023-10-23T02:03:08Z
27,Lastdance,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,5900962,368000,7,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20Lastdance.mp3,-1,-1,2008-07-04T04:09:30Z,2023-10-23T02:03:08Z
28,Melantroduction,Lacrimas Profundere,Lacrimas Profundere,Burning: A Wish,Rock/Pop,,MPEG audio file,3131982,195000,1,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimas%20Profundere%5CLacrimas%20Profundere%20-%20Melantroduction.mp3,-1,-1,2008-07-04T04:09:30Z,2023-10-23T02:03:08Z
